How many proteins displayed a significant fold change?	Here, we have selected and employed a polyclonal population of Jurkat T-cells expressing Tat at different levels.	0
What are the main virulence factors in C. difficle?	Though abrB is absent from C. difficile, this does not exclude the possibility of indirect transcriptional regulation through Spo0Adependent effects on other regulators.	0
What is the function of neuroaminidase in the influenza virus?	The release of new virions from the infected cell is a key step in the influenza life cycle and need neuraminidase (NA) to cleave the α-ketosidic linkage between terminal sialic acid and an adjacent sugar residue [6] .	1
How does MERS-CoV spread among people?	Subsequent transmission to other humans requires relatively close and prolonged exposure [10] .	0
What has been correlated with the pathogenicity of the H5N1 infection?	However, the use of both drug classes is limited by the emergence of resistant virus strains.	0
What do the results suggest?	Under the same condition, AP3 retained 100% of its prototype (Fig.	0
What is the main cause of death in the neonatal period of calves?	Its etiology involves bacteria (commonly Escherichia coli), viruses (rota and coronavirus), parasites, and other factors.	0
What kind of model best describes the pharmacokinetic profiles of AP3 and AP2?	Compared with AP1, triple-site mutations were introduced in AP2 and AP3, i.e.	0
Compounds from what framework have shown promising anticancer and antiviral properties?	The 50% cytostatic inhibitory concentration (IC 50 ) causing a 50% decrease in cell proliferation was determined against murine leukemia L1210, human lymphocyte CEM, human cervix carcinoma HeLa and immortalized human dermal microvacsular endothelial cells (HMEC-1).	0
What leads to death in most fatal cases of HCPS?	Three shrew and one mole species have been reported to host hantaviruses and their pathogenicity for humans remains unknown [22, 138, 139] .	0
Which  four studies were included?	There were no studies of any population type (cell, animal, human) on the 2019-nCoV at the point of screening.	1
What is the mortality rate of the H5N1 strain of influenza?	By overlapping the two lists of genes from "ND vs.	0
Why are lactic acid bacteria considered an attractive delivery system for a live influenza vaccine?	Briefly, lung tissues were homogenized in 500 ml of PBS containing antibiotics (penicillin, and streptomycin) and antimycotics (Fungizone) compounds (Gibco, Grand Island, NY, USA).	0
 For HCPS, what does that expression spare?	It is tempting to speculate that mediators produced in the lung in connection with the inflammatory infiltrate can percolate through the coronary circulation with minimal dilution in HCPS, a disadvantageous consequence of the close anatomic juxtaposition of the two organs.	0
How many cells were harvested from each culture?	Luciferase activity was measured and normalized against the total amount of proteins as quantified by the BCA protein quantification kit (Pierce, Thermo Scientific).	0
How does MERS-CoV compare with SARS-CoV?	It is possible that there are areas where humans already harbour MERS-CoV infections that have not been identified because of an absence of laboratory surveillance.	0
How  were the assays used?	It was found that the respiratory specimens were positive for the virus while serum was negative in the early period.	0
What does LAIV rely on?	A rAd5-HA expressing the HA from A/Puerto Rico/8/1934 (H1N1; PR8) was delivered to humans epicutaneously or intranasally and assayed for safety and immunogenicity.	0
What does ouabain inhibit?	The total protein concentration of clarified cell lysate was measured by Pierce BCA Protein Assay Kit (Thermo Fisher Scientific).	0
What thickness of layers is recommended for CT image reconstruction in COVID-19 assessment?	Low-dose scanning can reduce the radiation damage to patients.	0
Where was alpha-tubulin found most abundantly in the cell?	Alpha-tubulin (50 kDa) was highly abundant in the cytoplasmic fraction and weakly detected in the nuclear fractions.	1
What is the transmission of MERS-CoV is defined as?	In Jeddah between March and July 2014 (hereafter called the Jeddah-2014 outbreak; Fig.	0
Precisely how does the virus transmit to humans?	If strictly adhered to, only the severe syndrome would be subject to laboratory testing, which was the paradigm early on [21] .	0
What percentage of of all reported cases has MERS  reportedly killed in KSA?	A Jordanian outbreak of acute LRT disease in a hospital in 2012 was retrospectively found to be associated with MERS-CoV infection, initially using RT-rtPCR, but subsequently, and on a larger scale, through positivity by ELISA and IFA or MNT test.	0
Mechanism of action of Chloroquine(CQ) and Hydroxychloroquine(HCQ) against COVID-19?	The arrows indicated the abnormally enlarged vesicles.	0
What is the finding on E1-A226V in Indian Ocean?	developed a chimeric alphavirus vaccine that is uniformly attenuated and does not cause reactogenicity in mice [3] .	0
Can host resilience be predicted?	A recent study looking at malaria infections in animal models and human patients demonstrated that resilient hosts can be predicted [28] .	1
How do influenza viruses escape binding by the natural killer cell activating receptors?	1E ), a majority of genes did not in fact overlap between the HD and HA groups (Fig.	0
What is Pneumolysin?	The adaptability of these tissue-engineered models to multiple pathogens suggests a great potential for studies of infectious diseases.	0
What  is the FPA optimization algorithm inspired by?	In [25] , another time series forecasting method was presented for electricity prices based on ANFIS.	0
What is a concern with these vaccines?	Concurrently, the intracellular influenza peptides expressed by the pox vector enter the class I MHC antigen processing and presentation pathway enabling induction of CD8 + T cell antiviral responses.	0
What happens when a recipient of a vaccine has immune response to the delivery vector?	Therefore, considering a vector such as Salmonella, if a host has previously been infected there will exist robust B and T memory responses, and as such, when a vaccination is delivered, an anamnestic response to the Salmonella antigens will be induced (while the response to the vectored antigen will be a primary response).	1
How many COVID deaths occurred in Chinese mainland as of March 11th?	11.	0
Which strain was similar to other Belgian porcine kobuvirus isolates?	Of these, 39.3% (n = 5,985) and 10.3% (n = 1,564) were assigned to viral families comprising Porcine epidemic diarrhea virus (family Coronaviridae) and Rotavirus (family Reoviridae, subfamily Sedoreovirinae), respectively.	0
What is the estimate of R 0?	Results The value of R 0 was estimated of 2.30 from reservoir to person and 3.58 from person to person which means that the expected number of secondary infections that result from introducing a single infected individual into an otherwise susceptible population was 3.58.	1
Which technology  invention produced antibodies that are clones of a unique parent cell?	When site-specific biotinylation is utilized, researchers must keep in mind that the tag may occlude an epitope from recognition by B cells which can be problematic for vaccine antigens.	0
What  type of virus is 2019-nCOV?	The 2019 novel coronavirus (2019-nCoV), a betacoronavirus, forms a clade within the subgenus sarbecovirus of the Orthocoronavirinae subfamily [4] .	1
What  is the relationship between the presence of virus in blood and anal swabs and disease severity?	On day 9, a low level of viral RNA (Ct = 36 + 41) was detected again in the blood.	0
What can RNA sequencing be used to monitor?	1D) , consistent with the increasing number of RNA-Seq reads mapped to the VEEV genome at later time points (Table 1) .	0
What  was the first reported baculovirus vector based vaccine for influenza?	Additionally, a single intranasal immunization in a murine model of influenza infection was shown to induce neutralizing antibody responses and protect against a virus expressing homologous HA protein [98] .	0
What are potential vaccines based on?	A significant reduction in the pooled odds of mortality following treatment of 0.25 compared to placebo or no therapy was observed [119] .	0
What is the significance of this study?	SMC2 was identified as part of the in vitro nuclear interactome of HIV-1 Tat [63] .	0
What  samples  returned the highest MERS viral load values?	[25, 69, 99, 101] In one instance, a HCW shed viral RNA for 42 days in the absence of disease [99] .	0
What is the  detection of MERS-CoV infection using ELISA or S1 subunit protein microarray [84] is usually followed by?	In total 186 cases were generated in this outbreak, all linked through a single transmission chain to 68 M; 37 cases died [189] .	0
