How many swabs were randomly selected and analyzed?	We set up a retrospective study using nasal swabs collected by sentinel GPs from ILI patients in 2011 and 2012.	0
What is sporulation?	The bacterium is the causative agent of C. difficile infection (CDI), for which the symptoms can range from a mild diarrhea to potentially fatal pseudomembranous colitis and toxic megacolon.	0
What, beyond the assessment of severity, is important?	The serial interval was not precisely estimated, and a potentially shorter mean serial interval would have corresponded to a slightly lower basic reproductive number.	0
How many times was the experiment repeated?	Using an artificial peptide strategy, we designed a peptide with non-native protein sequence, AP3, which exhibited potent antiviral activity against a broad spectrum of HIV-1 strains, including those resistant to T20, and had remarkably longer in vivo half-life than T20.	0
What does a chest x-ray look like for a patient with a severe case of human adenovirus type 55 (HAdV-55)?	The clinical features and outcomes of the most critically ill patients with severe acute respiratory distress syndrome (ARDS) caused by HAdV-55 requiring invasive mechanical ventilation (IMV) and/or extracorporeal membrane oxygenation (ECMO) are lacking.	0
What was the performance of the vaccine candidates?	It is timely to systematically review the potential of these interventions, including those for Middle East respiratory syndrome-Coronavirus (MERS-CoV) and severe acute respiratory syndrome (SARS)-CoV, to guide policymakers globally on their prioritization of resources for research and development.	0
What happens during viral infection of healthy individuals?	The current understanding on viral-induced exacerbations is that viral infection increases airway inflammation which aggravates disease symptoms.	0
How are siRNAs typically delivered for systemic effect?	The reason could be the difficulty in formulating inhalable siRNAs and maintaining the stability during the delivery process.	1
In what species did the COVID-19 virus likely originate?	patients are similar to the one that China initially posted, suggesting a likely single, recent emergence of this virus from an animal reservoir.	1
What is IFITM?	Role of S-Palmitoylation on IFITM5 for the Interaction with FKBP11 in Osteoblast Cells  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3776769/  Tsukamoto, Takashi; Li, Xianglan; Morita, Hiromi; Minowa, Takashi; Aizawa, Tomoyasu; Hanagata, Nobutaka; Demura, Makoto 2013-09-18 DOI:10.1371/journal.pone.0075831 License:cc-by  Abstract: Recently, one of the interferon-induced transmembrane (IFITM) family proteins, IFITM3, has become an important target for the activity against influenza A (H1N1) virus infection.	1
Where is MERS-CoV is enzootic in DC?	The case first to be publicly reported was from Jeddah, in the Kingdom of Saudi Arabia (KSA).	0
What is the SSA optimization algorithm inspired by?	In recent years, the SSA was utilized to solve different optimization problems, such as feature selection [49, 50] , data classification [51] , image segmentation [52] , and others [53, 54] .	1
What was the purpose of this study?	We sought to use PCR/ESI-MS to comprehensively investigate the viral epidemiology of adult RTIs, including testing for rhinoviruses and enteroviruses.	1
What is OWA?	In the current study, we present a new forecasting model to estimate and forecast the number of confirmed cases of COVID-19 in the upcoming ten days based on the previously confirmed cases recorded in China.	0
What was the definition for an immunocompromised state in this study?	We sought to use PCR/ESI-MS to comprehensively investigate the viral epidemiology of adult RTIs, including testing for rhinoviruses and enteroviruses.	0
What do the findings indicate?	A mechanistic understanding of the impact of bats’ virus hosting capacities, including uniquely constitutive immune pathways, on cellular-scale viral dynamics is needed to elucidate zoonotic emergence.	0
What opportunity has the termination of smallpox vaccination provided?	Constant evolution of circulating influenza virus strains and the emergence of new strains diminishes the effectiveness of annual vaccines that rely on a match with circulating influenza strains.	0
What could be the implication of 2019-nCOV virus in anal swabs?	Unexpectedly, the 2109-nCoV RNA was readily detected in the blood (6 of 57 patients) and the anal swabs (11 of 28 patients).	0
How does cell-mediated immunity to viral delivery vector, reduce the immune response to vaccine?	Pre-existing immunity against vaccine vectors – friend or foe?	0
What do we know about the genomics of human adenovirus type 55 (HAdV-55)?	This pathogen was fully characterized by whole-genome sequencing [10] .	1
What is the purpose of this research study?	Which Kind of Provider’s Operation Volumes Matters?	0
How many COVID-19 cases were confirmed on the Diamond Princess cruise ship?	A backcalculation method was employed to estimate the incidence of infection.	0
What did the discovery process over two to three years reveal?	Since then, MERS-CoV sequences have been found in a bat and in many dromedary camels (DC).	0
What intestinal factors may reduce the effectiveness of orally-administered immunizations?	Therefore, it is necessary to develop an effective oral vaccine against PEDV infection.	0
